term,fdr,Odds Ratio,Combined Score,Genes,description
Estrogen Response Late,0.03850435,3.561077,24.55209,KCNK5;ACOX2;GJB3;ALDH3B1;DCXR;RBBP8;PLAAT3;LSR;PTPN6;LLGL2,Estrogen Response Late
KRAS Signaling Dn,0.3363481,4.08145,15.63632,CYP39A1;PKP1;PTPRJ;GPRC5C,KRAS Signaling Dn
Xenobiotic Metabolism,0.3363481,2.366897,8.58848,MPP2;CYB5A;TKFC;JUP;ACOX2;CYP2S1;DCXR;EPHX1,Xenobiotic Metabolism
Myogenesis,0.3469043,2.569767,8.478659,ABLIM1;MRAS;FHL1;KIFC3;CRYAB;MYLK,Myogenesis
Estrogen Response Early,0.3469043,2.244075,6.927135,KCNK5;ABLIM1;ALDH3B1;RBBP8;PLAAT3;THSD4;TGM2,Estrogen Response Early
heme Metabolism,0.5376286,1.921626,4.739525,ALDH6A1;GDE1;CPOX;MBOAT2;CIR1;SLC30A1;ABCG2,heme Metabolism
Apical Surface,0.5618721,3.64916,7.840068,CRYBG1;SHROOM2,Apical Surface
Hypoxia,0.5618721,1.803909,3.685918,SDC4;ILVBL;SDC2;PKP1;EGFR;TGM2,Hypoxia
p53 Pathway,0.5618721,1.789035,3.608202,CD82;GM2A;DCXR;EPHX1;OSGIN1;PHLDA3,p53 Pathway
Glycolysis,0.7472892,1.535234,2.388679,CYB5A;SDC2;PKP2;HS6ST2;EGFR;DSC2,Glycolysis
KRAS Signaling Up,0.7472892,1.718843,2.631539,JUP;FLT4;PRKG2;SDCCAG8,KRAS Signaling Up
Epithelial Mesenchymal Transition,0.7578277,1.64083,2.346352,SDC4;CDH2;MYLK;TGM2,Epithelial Mesenchymal Transition
Bile Acid Metabolism,0.7962119,1.631967,2.021559,CYP39A1;ALDH1A1;PIPOX,Bile Acid Metabolism
Allograft Rejection,0.7962119,1.561483,1.819342,PTPN6;GBP2;EGFR,Allograft Rejection
Apical Junction,0.7962119,1.388216,1.51622,JUP;SHROOM2;NECTIN3;EGFR,Apical Junction
Complement,0.7962119,1.388216,1.51622,GCA;ZFPM2;PLA2G7;CD55,Complement
PI3K/AKT/mTOR  Signaling,0.7962119,1.437209,1.483577,PLCB1;EGFR;PAK4,PI3K/AKT/mTOR  Signaling
Fatty Acid Metabolism,0.8760222,1.23341,1.084881,NTHL1;EPHX1;ALDH1A1;CPOX,Fatty Acid Metabolism
Interferon Gamma Response,0.9682664,1.111728,0.7439735,ST3GAL5;PTPN6;VAMP5,Interferon Gamma Response
Coagulation,0.9682664,1.021896,0.5437815,ACOX2;CRIP2,Coagulation
Inflammatory Response,0.9682664,1.007586,0.5234726,CD82;CD55,Inflammatory Response
Androgen Response,0.9682664,0.9801272,0.4854518,TMPRSS2;DNAJB9,Androgen Response
Pperoxisome,0.9682664,0.917562,0.4036118,SLC25A19;ALDH1A1,Pperoxisome
Adipogenesis,0.9682664,0.8938062,0.377411,BCL2L13;DNAJB9;CYP4B1;MYLK,Adipogenesis
Reactive Oxygen Species Pathway,0.9682664,0.9063808,0.359015,MGST1,Reactive Oxygen Species Pathway
IL-6/JAK/STAT3 Signaling,0.9682664,0.8841719,0.3387106,LTBR,IL-6/JAK/STAT3 Signaling
Protein Secretion,0.9682664,0.7954566,0.2640836,CAV2;EGFR,Protein Secretion
Spermatogenesis,0.9682664,0.7391341,0.2183017,TLE4,Spermatogenesis
UV Response Dn,0.9682664,0.7231092,0.1947959,PLCB4;SDC2,UV Response Dn
Interferon Alpha Response,0.9682664,0.6962504,0.1870384,GBP2,Interferon Alpha Response
Cholesterol Homeostasis,0.9731333,0.5832771,0.1151565,GSTM2,Cholesterol Homeostasis
Mitotic Spindle,0.9731333,0.5829627,0.07122646,SHROOM2;CDC42EP1;SHROOM1,Mitotic Spindle
Unfolded Protein Response,0.9731333,0.3564356,0.02259202,DNAJB9,Unfolded Protein Response
UV Response Up,0.9731333,0.3529002,0.02174178,EPHX1,UV Response Up
TNF-alpha Signaling via NF-kB,0.9731333,0.3460332,0.02014318,SDC4,TNF-alpha Signaling via NF-kB
IL-2/STAT5 Signaling,0.9731333,0.3181397,0.01436102,TGM2,IL-2/STAT5 Signaling
Oxidative Phosphorylation,0.9731333,0.3827798,0.01365543,CYB5A;ALDH6A1,Oxidative Phosphorylation
DNA Repair,0.9731333,0.273851,0.007458123,SNAPC5,DNA Repair
